id,nim,name,major,tempatLahir,tanggalLahir,jenisKelamin,facultyId,ipk,nomorSkYudisium,tanggalSkYudisium,pddiktiStatus,statusMesin
1,20210001,Ajiono Saefullah,Teknik Informatika,Semarang,2000-12-23,L,1,3.13,SK-YUD/2026/0001,2026-05-20,unverified,DRAFT
2,20210002,Among Iswahyudi,Teknik Informatika,Tasikmalaya,2000-11-15,L,1,3.48,SK-YUD/2026/0002,2026-05-20,unverified,DRAFT
3,20210003,Gawati Hassanah,Teknik Informatika,Tanjungpinang,2002-05-10,P,1,3.77,SK-YUD/2026/0003,2026-05-20,unverified,DRAFT
4,20210004,Indah Mangunsong,Teknik Informatika,Metro,2000-11-10,P,1,3.73,SK-YUD/2026/0004,2026-05-20,unverified,DRAFT
5,20210005,Zulfa Situmorang,Ilmu Komunikasi,Prabumulih,2002-05-31,P,1,3.77,SK-YUD/2026/0005,2026-05-20,unverified,DRAFT
6,20210006,Cindy Puspasari,Teknik Elektro,Tarakan,2001-03-04,P,1,3.60,SK-YUD/2026/0006,2026-05-20,unverified,DRAFT
7,20210007,Mitra Pradana,Sistem Informasi,Metro,2003-02-02,L,1,3.94,SK-YUD/2026/0007,2026-05-20,unverified,DRAFT
8,20210008,Siska Utama,Ilmu Komunikasi,Tanjungpinang,2000-08-25,P,1,3.34,SK-YUD/2026/0008,2026-05-20,unverified,DRAFT
9,20210009,Lulut Usada,Sistem Informasi,Metro,2000-09-06,L,1,3.69,SK-YUD/2026/0009,2026-05-20,unverified,DRAFT
10,20210010,Mahdi Simbolon,Sistem Informasi,Lubuklinggau,2003-05-15,L,1,3.74,SK-YUD/2026/0010,2026-05-20,unverified,DRAFT
11,20210011,Bella Prabowo,Ilmu Komunikasi,Jambi,2003-08-26,P,1,3.54,SK-YUD/2026/0011,2026-05-20,unverified,DRAFT
12,20210012,Lala Yuniar,Sistem Informasi,Tidore Kepulauan,2001-10-31,P,1,3.25,SK-YUD/2026/0012,2026-05-20,unverified,DRAFT
13,20210013,Restu Wacana,Sistem Informasi,Bekasi,2001-06-12,P,1,3.95,SK-YUD/2026/0013,2026-05-20,unverified,DRAFT
14,20210014,Candra Utami,Akuntansi,Meulaboh,2000-08-21,L,1,3.65,SK-YUD/2026/0014,2026-05-20,unverified,DRAFT
15,20210015,Paris Ramadan,Teknik Informatika,Tangerang Selatan,2003-11-18,P,1,3.82,SK-YUD/2026/0015,2026-05-20,unverified,DRAFT
16,20210016,Vivi Yuniar,Sistem Informasi,Ambon,2001-05-11,P,1,3.28,SK-YUD/2026/0016,2026-05-20,unverified,DRAFT
17,20210017,Olivia Nugroho,Ilmu Komunikasi,Subulussalam,2002-01-11,P,1,3.10,SK-YUD/2026/0017,2026-05-20,unverified,DRAFT
18,20210018,Candra Wahyudin,Akuntansi,Serang,2003-01-18,L,1,3.51,SK-YUD/2026/0018,2026-05-20,unverified,DRAFT
19,20210019,Anita Kusumo,Teknik Elektro,Banjarmasin,2003-09-18,P,1,3.83,SK-YUD/2026/0019,2026-05-20,unverified,DRAFT
20,20210020,Bakiadi Laksita,Akuntansi,Blitar,2003-04-06,L,1,3.93,SK-YUD/2026/0020,2026-05-20,unverified,DRAFT
21,20210021,Pia Marbun,Manajemen,Probolinggo,2001-01-21,P,1,3.83,SK-YUD/2026/0021,2026-05-20,unverified,DRAFT
22,20210022,Nasab Saragih,Teknik Elektro,Pematangsiantar,2001-08-05,L,1,3.64,SK-YUD/2026/0022,2026-05-20,unverified,DRAFT
23,20210023,Dirja Prasetyo,Akuntansi,Semarang,2000-04-03,L,1,3.02,SK-YUD/2026/0023,2026-05-20,unverified,DRAFT
24,20210024,Bagus Usamah,Teknik Informatika,Batu,2000-03-26,L,1,3.06,SK-YUD/2026/0024,2026-05-20,unverified,DRAFT
25,20210025,Estiawan Winarsih,Ilmu Komunikasi,Kota Administrasi Jakarta Barat,2001-12-09,L,1,3.51,SK-YUD/2026/0025,2026-05-20,unverified,DRAFT
26,20210026,Fitriani Kuswoyo,Manajemen,Pangkalpinang,2000-05-21,P,1,3.41,SK-YUD/2026/0026,2026-05-20,unverified,DRAFT
27,20210027,Muni Yolanda,Manajemen,Bima,2003-12-07,L,1,3.09,SK-YUD/2026/0027,2026-05-20,unverified,DRAFT
28,20210028,Dadap Nasyiah,Teknik Elektro,Kota Administrasi Jakarta Barat,2001-10-16,L,1,3.40,SK-YUD/2026/0028,2026-05-20,unverified,DRAFT
29,20210029,Yani Pudjiastuti,Akuntansi,Bekasi,2000-05-22,P,1,3.62,SK-YUD/2026/0029,2026-05-20,unverified,DRAFT
30,20210030,Hasim Laksita,Teknik Informatika,Metro,2001-12-03,L,1,3.82,SK-YUD/2026/0030,2026-05-20,unverified,DRAFT
31,20210031,Hani Hasanah,Ilmu Komunikasi,Bukittinggi,2001-02-20,P,1,3.66,SK-YUD/2026/0031,2026-05-20,unverified,DRAFT
32,20210032,Gasti Hakim,Ilmu Komunikasi,Banjarmasin,2002-04-25,P,1,3.52,SK-YUD/2026/0032,2026-05-20,unverified,DRAFT
33,20210033,Olivia Nuraini,Teknik Informatika,Batam,2000-08-17,P,1,3.91,SK-YUD/2026/0033,2026-05-20,unverified,DRAFT
34,20210034,Mursita Prakasa,Akuntansi,Sawahlunto,2001-08-12,L,1,3.89,SK-YUD/2026/0034,2026-05-20,unverified,DRAFT
35,20210035,Lukman Hutapea,Akuntansi,Kota Administrasi Jakarta Selatan,2001-09-04,L,1,3.55,SK-YUD/2026/0035,2026-05-20,unverified,DRAFT
36,20210036,Halima Saptono,Teknik Elektro,Lubuklinggau,2001-07-31,P,1,3.64,SK-YUD/2026/0036,2026-05-20,unverified,DRAFT
37,20210037,Jagapati Oktaviani,Teknik Informatika,Pekalongan,2003-12-28,L,1,3.95,SK-YUD/2026/0037,2026-05-20,unverified,DRAFT
38,20210038,Wardi Tampubolon,Teknik Elektro,Cilegon,2003-07-10,L,1,3.84,SK-YUD/2026/0038,2026-05-20,unverified,DRAFT
