source_run,analysis_role,run_id,scenario_id,domain,kelompok,timestamp_start,timestamp_end,latency_ms,status,expected,actual,http_status,error_message,nim,nina,student_name,reservation_id,cid,file_size_bytes,tx_hash,block_number,block_timestamp,token_id,gas_limit,gas_used,revert_reason,registry_status,blockchain_status,sia_status,mock_pisn_status,final_verification,verification_mode,notes
fullflow_primary_r2,first_pass,1,F01,integrasi,alur_penuh,2026-08-08T20:55:19.192Z,2026-08-08T20:55:19.192Z,0,pass,data masuk PDDikti,sudah tercatat di PDDikti,,,20210002,,Among Iswahyudi,,,,,,,,,,,,,eligible,,,,run=alur-penuh-auto29-r2-20260809; resume=already_reported
fullflow_primary_r2,first_pass,2,F02,integrasi,alur_penuh,2026-08-08T20:55:19.193Z,2026-08-08T20:55:19.193Z,0,pass,status eligible,eligible,,,20210002,,Among Iswahyudi,,,,,,,,,,,,,,eligible,,,run=alur-penuh-auto29-r2-20260809; resume=already_eligible
fullflow_primary_r2,first_pass,3,F03,integrasi,alur_penuh,2026-08-08T20:55:19.194Z,2026-08-08T20:55:19.211Z,17,pass,NINA terbit,040410582605001,,,20210002,040410582605001,Among Iswahyudi,2,,,,,,,,,,aktif,,,,,,run=alur-penuh-auto29-r2-20260809; resume=already_has_nina
fullflow_primary_r2,first_pass,4,F04,kriptografi,alur_penuh,2026-08-08T20:55:19.211Z,2026-08-08T20:55:22.563Z,3352,pass,PDF terbentuk,PDF terbentuk,,,20210002,040410582605001,Among Iswahyudi,,,,,,,,,,,,,,,,,run=alur-penuh-auto29-r2-20260809; pdf=generated-ijazah/ijazah-2-1786222522447.pdf
fullflow_primary_r2,first_pass,5,F05,kriptografi,alur_penuh,2026-08-08T20:55:22.564Z,2026-08-08T20:55:31.486Z,8922,pass,CID diperoleh,bafkreibbwj2o3v2kfiipqmkscusdwht6h4xhanbxqqqcdk435emy6floge,,,20210002,040410582605001,Among Iswahyudi,,bafkreibbwj2o3v2kfiipqmkscusdwht6h4xhanbxqqqcdk435emy6floge,,,,,,,,,,,,,,,run=alur-penuh-auto29-r2-20260809
fullflow_primary_r2,first_pass,6,F07,smart_contract,alur_penuh,2026-08-08T20:55:31.487Z,2026-08-08T20:55:34.757Z,3270,pass,token terbit,token 1002,,,20210002,040410582605001,Among Iswahyudi,,bafkreibbwj2o3v2kfiipqmkscusdwht6h4xhanbxqqqcdk435emy6floge,,0x9709ade852d3c61974d816a04d10c2c76be85b9bf453a45b5859a6ce7f4a0b36,,,1002,,,,,aktif,,,,,run=alur-penuh-auto29-r2-20260809
fullflow_primary_r2,first_pass,7,F08,verifikasi,alur_penuh,2026-08-08T20:55:34.758Z,2026-08-08T20:55:36.054Z,1296,pass,valid,valid,,,20210002,040410582605001,Among Iswahyudi,,bafkreibbwj2o3v2kfiipqmkscusdwht6h4xhanbxqqqcdk435emy6floge,,,,,1002,,,,,,,,valid,live,run=alur-penuh-auto29-r2-20260809; sivil=http://localhost:8001/verifikasi?nina=040410582605001&nama=Among%20Iswahyudi
fullflow_primary_r2,first_pass,8,F01,integrasi,alur_penuh,2026-08-08T20:55:36.098Z,2026-08-08T20:55:36.098Z,0,pass,data masuk PDDikti,sudah tercatat di PDDikti,,,20210003,,Gawati Hassanah,,,,,,,,,,,,,eligible,,,,run=alur-penuh-auto29-r2-20260809; resume=already_reported
fullflow_primary_r2,first_pass,9,F02,integrasi,alur_penuh,2026-08-08T20:55:36.099Z,2026-08-08T20:55:36.099Z,0,pass,status eligible,eligible,,,20210003,,Gawati Hassanah,,,,,,,,,,,,,,eligible,,,run=alur-penuh-auto29-r2-20260809; resume=already_eligible
fullflow_primary_r2,first_pass,10,F03,integrasi,alur_penuh,2026-08-08T20:55:36.100Z,2026-08-08T20:55:36.126Z,26,pass,NINA terbit,040410582605002,,,20210003,040410582605002,Gawati Hassanah,3,,,,,,,,,,aktif,,,,,,run=alur-penuh-auto29-r2-20260809; resume=already_has_nina
fullflow_primary_r2,first_pass,11,F04,kriptografi,alur_penuh,2026-08-08T20:55:36.132Z,2026-08-08T20:55:38.044Z,1912,pass,PDF terbentuk,PDF terbentuk,,,20210003,040410582605002,Gawati Hassanah,,,,,,,,,,,,,,,,,run=alur-penuh-auto29-r2-20260809; pdf=generated-ijazah/ijazah-3-1786222537952.pdf
fullflow_primary_r2,first_pass,12,F05,kriptografi,alur_penuh,2026-08-08T20:55:38.045Z,2026-08-08T20:55:44.889Z,6844,pass,CID diperoleh,bafkreifttvrutosskonm6avpkkd2lz6o7w7wnmnpf6m57pdibdc5iz3lyu,,,20210003,040410582605002,Gawati Hassanah,,bafkreifttvrutosskonm6avpkkd2lz6o7w7wnmnpf6m57pdibdc5iz3lyu,,,,,,,,,,,,,,,run=alur-penuh-auto29-r2-20260809
