nim,name,major,student_pddikti_status,student_status_mesin,student_blockchain_status,diploma_number,nina,token_id,tx_hash,pdf_cid,metadata_cid,diploma_blockchain_status,pddikti_record_status,pddikti_eligibility,pisn_nina_status,sivil_status
20210001,Ajiono Saefullah,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4101,040410582605000,1001,0xe21524b4fb8e278253fd12eabb07555e9323967cc71c7c2989aa158594f604c2,bafybeib63t4cgtyjbrefljkm5flg62hujqc3m6eskrcbc4zdrh647kjqnq,bafkreiexj23jwhqapalnjiyxzrr4myw2pdkjumtxm4rks52ksxsjw3zqba,verified,lulus,eligible,aktif,aktif
20210002,Among Iswahyudi,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4102,040410582605001,1002,0x9709ade852d3c61974d816a04d10c2c76be85b9bf453a45b5859a6ce7f4a0b36,bafybeie6d2vdcnynlckf33daw7blehcebkbnia73pb76qi7t4xmtss5rau,bafkreibbwj2o3v2kfiipqmkscusdwht6h4xhanbxqqqcdk435emy6floge,verified,lulus,eligible,aktif,aktif
20210003,Gawati Hassanah,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4103,040410582605002,1003,0xc07fd6664ddcb7dd64f0de5e71376b50c3781cce797ffdae956eab2e4f570662,bafybeihpx7ntuehlczazkn62ong3bwezkgn3ahnxw6unrz5l3bqp4pdz3i,bafkreifttvrutosskonm6avpkkd2lz6o7w7wnmnpf6m57pdibdc5iz3lyu,verified,lulus,eligible,aktif,aktif
20210004,Indah Mangunsong,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4104,040410582605003,1004,0x15459d5eb2142e2f5c7a4680d20b8e5de56ad31aad1719a8e482c15a1106e268,bafybeif44fyp77tb6xfir24kb36oiuxtqh63yfggldcoahz6hfurav5l5e,bafkreihulqkjcfudcenxgc3obuzv2f4bqdple4sthk3zoniivrvn2j72ly,verified,lulus,eligible,aktif,aktif
20210005,Zulfa Situmorang,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4105,040410582605004,1030,0x2c3d8c2c77440a496529cb75e1b8766306da392373f3506357b6007f2167cb45,bafybeienkcqrv2zno6m6pc6cwkjcspyelbkx52xctzoeuzimjh4jactvey,bafkreic7t446vokusyos5d3xrsrorpm5d7x3n7luremuqtlrcbgnumgvg4,verified,lulus,eligible,aktif,aktif
20210006,Cindy Puspasari,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4106,040410582605005,1005,0xcf8beaac771c016a0772f081cb593064fc99a87d5409736a9469d98a6f938f3c,bafybeihy6ckhzzaqnwpwahagv3to3dl3qosrwprjluoea4laqzt6ju574i,bafkreidvkoxqpxvdnzxjyowezagpruoq3uf6iizz3wkzekqlyt3xk76ypm,verified,lulus,eligible,aktif,aktif
20210007,Mitra Pradana,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4107,040410582605006,1006,0xd3362beffa14b7e9c442cf386418f0f012a463c28969a5b5e40c8a1335e756f1,bafybeibm7pnuco6qhlj4i6jkrgaqpit7kd3o7jxbfhnrsmclutqpqd6tse,bafkreibwk3qongd273nqoducrtqw7cprryfwi6y6wruucfe3qf6epmg7h4,verified,lulus,eligible,aktif,aktif
20210008,Siska Utama,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4108,040410582605007,1007,0x15b54b63e14650e98d8e1a409b67512707c5ae5152cc5fead8b899cc94da3a39,bafybeietjzkljtvlgq4guvgcdw4oksh5q27aquwqzp3nso3ehf7v7cz6he,bafkreibesawhh5xjrvaiknaldo2rtvwpzmako2jo7k7f5ygsvbcsh7n3kq,verified,lulus,eligible,aktif,aktif
20210009,Lulut Usada,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4109,040410582605008,1008,0x473e67c3bd45c980f156a3cdf2a64925e9c1dba5cbca30c6a1a997c069131850,bafybeihvr777bxbxhgunodynz7f5syksat2xgknyaqb7nvgzgtvxxwtmna,bafkreiew3fjyszuxer7ilewesa2vqzqvttwkt6geppng7vdtbsgrek5tri,verified,lulus,eligible,aktif,aktif
20210010,Mahdi Simbolon,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4110,040410582605009,1009,0x3d2af74e1416f06eef7c1803dd40dcc3e8d5ff563a3cdcda17391f7185615439,bafybeifursqkjgx7frchgcnn44imgnbrfkzuj56kw6n7pngbbvnkd6tajm,bafkreigfa6355cpoxu5nozzqj3cksred4fhdefwidclqrmqywxjmncxkve,verified,lulus,eligible,aktif,aktif
