run_id,scenario_id,domain,kelompok,timestamp_start,timestamp_end,latency_ms,status,expected,actual,http_status,error_message,nim,nina,student_name,reservation_id,cid,file_size_bytes,tx_hash,block_number,block_timestamp,token_id,gas_limit,gas_used,revert_reason,registry_status,blockchain_status,sia_status,mock_pisn_status,final_verification,verification_mode,notes
31,V-SETUP-B5,verifikasi,,2026-08-09T08:15:31.370Z,2026-08-09T08:15:32.882Z,1512,pass,"registri aktif, token tidak ditemukan, tanpa pin",B5 siap tanpa pin,,,20210211,040410582605200,Lukita Mangunsong,201,,,,,,,,,,aktif,tidak ditemukan,,,,,run=matriks-final; alur dihentikan setelah NINA sebelum PDF/IPFS/mint
32,V-SETUP-B2,verifikasi,,2026-08-09T08:16:43.383Z,2026-08-09T08:16:45.245Z,1862,pass,"token revoked, registri tetap aktif",token dicabut on-chain,,,20210003,040410582605002,,,,,0x75eca50c162dfe82dcdbfcf0ca63f0a570c4359c044f7de8f9ea736bd017798a,44444965,,1003,91319,87038,,aktif,revoked,,,,,run=matriks-final; manipulasi disengaja: revoke langsung ke kontrak tanpa sinkronisasi registri
33,V-SETUP-B2,verifikasi,,2026-08-09T08:16:45.246Z,2026-08-09T08:16:47.189Z,1943,pass,"token revoked, registri tetap aktif",token dicabut on-chain,,,20210004,040410582605003,,,,,0x764dbfb28c5e159788d3ef8b83c097f23713bd8983d750f9999033e0da0d794c,44444967,,1004,91319,87038,,aktif,revoked,,,,,run=matriks-final; manipulasi disengaja: revoke langsung ke kontrak tanpa sinkronisasi registri
34,V-SETUP-B2,verifikasi,,2026-08-09T08:16:47.190Z,2026-08-09T08:16:49.175Z,1985,pass,"token revoked, registri tetap aktif",token dicabut on-chain,,,20210005,040410582605004,,,,,0x41d603ff0f99e335217ff814ae857a5a44c661cfd384548f2eb24c2844d9a485,44444969,,1030,91319,87038,,aktif,revoked,,,,,run=matriks-final; manipulasi disengaja: revoke langsung ke kontrak tanpa sinkronisasi registri
35,V-SETUP-B3,verifikasi,,2026-08-09T08:16:49.176Z,2026-08-09T08:16:49.278Z,102,pass,"registri revoked, token tetap aktif",registri diubah,,,20210006,040410582605005,,,,,,,,1005,,,,revoked,aktif,,,,,run=matriks-final; manipulasi disengaja: status registri SIVIL diubah tanpa mencabut token
36,V-SETUP-B3,verifikasi,,2026-08-09T08:16:49.278Z,2026-08-09T08:16:49.373Z,95,pass,"registri revoked, token tetap aktif",registri diubah,,,20210007,040410582605006,,,,,,,,1006,,,,revoked,aktif,,,,,run=matriks-final; manipulasi disengaja: status registri SIVIL diubah tanpa mencabut token
37,V-SETUP-B3,verifikasi,,2026-08-09T08:16:49.374Z,2026-08-09T08:16:49.467Z,93,pass,"registri revoked, token tetap aktif",registri diubah,,,20210008,040410582605007,,,,,,,,1007,,,,revoked,aktif,,,,,run=matriks-final; manipulasi disengaja: status registri SIVIL diubah tanpa mencabut token
38,V-SETUP-B4,verifikasi,,2026-08-09T08:16:49.467Z,2026-08-09T08:16:49.562Z,95,pass,"registri tidak ditemukan, token tetap aktif",baris registri dihapus,,,20210009,040410582605008,,,,,,,,1008,,,,tidak ditemukan,aktif,,,,,run=matriks-final; manipulasi disengaja: baris registri SIVIL dihapus tanpa mencabut token
39,V-SETUP-B4,verifikasi,,2026-08-09T08:16:49.563Z,2026-08-09T08:16:49.656Z,93,pass,"registri tidak ditemukan, token tetap aktif",baris registri dihapus,,,20210010,040410582605009,,,,,,,,1009,,,,tidak ditemukan,aktif,,,,,run=matriks-final; manipulasi disengaja: baris registri SIVIL dihapus tanpa mencabut token
40,V-SETUP-B4,verifikasi,,2026-08-09T08:16:49.657Z,2026-08-09T08:16:49.749Z,92,pass,"registri tidak ditemukan, token tetap aktif",baris registri dihapus,,,20210012,040410582605011,,,,,,,,1011,,,,tidak ditemukan,aktif,,,,,run=matriks-final; manipulasi disengaja: baris registri SIVIL dihapus tanpa mencabut token
