run_id,scenario_id,domain,kelompok,timestamp_start,timestamp_end,latency_ms,status,expected,actual,http_status,error_message,nim,nina,student_name,reservation_id,cid,file_size_bytes,tx_hash,block_number,block_timestamp,token_id,gas_limit,gas_used,revert_reason,registry_status,blockchain_status,sia_status,mock_pisn_status,final_verification,verification_mode,notes
2,F06,integrasi,ineligible,2026-08-09T06:25:23.087Z,2026-08-09T06:25:23.206Z,119,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210201,,Puji Sirait,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
4,F06,integrasi,ineligible,2026-08-09T06:25:23.311Z,2026-08-09T06:25:23.396Z,85,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210202,,Rosman Mansur,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
6,F06,integrasi,ineligible,2026-08-09T06:25:23.511Z,2026-08-09T06:25:23.581Z,70,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210203,,Prima Pangestu,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
8,F06,integrasi,ineligible,2026-08-09T06:25:23.697Z,2026-08-09T06:25:23.762Z,65,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210204,,Ani Yuliarti,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
10,F06,integrasi,ineligible,2026-08-09T06:25:23.862Z,2026-08-09T06:25:23.935Z,73,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210205,,Maya Wacana,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
12,F06,integrasi,ineligible,2026-08-09T06:25:24.060Z,2026-08-09T06:25:24.124Z,64,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210206,,Kartika Maryati,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
14,F06,integrasi,ineligible,2026-08-09T06:25:24.221Z,2026-08-09T06:25:24.350Z,129,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210207,,Kenes Sihombing,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
16,F06,integrasi,ineligible,2026-08-09T06:25:24.451Z,2026-08-09T06:25:24.525Z,74,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210208,,Eli Handayani,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
18,F06,integrasi,ineligible,2026-08-09T06:25:24.624Z,2026-08-09T06:25:24.681Z,57,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210209,,Bahuraksa Winarsih,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
20,F06,integrasi,ineligible,2026-08-09T06:25:24.784Z,2026-08-09T06:25:24.841Z,57,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210210,,Ami Mahendra,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
