run_id,scenario_id,domain,kelompok,timestamp_start,timestamp_end,latency_ms,status,expected,actual,http_status,error_message,nim,nina,student_name,reservation_id,cid,file_size_bytes,tx_hash,block_number,block_timestamp,token_id,gas_limit,gas_used,revert_reason,registry_status,blockchain_status,sia_status,mock_pisn_status,final_verification,verification_mode,notes
41,V-B1,verifikasi,,2026-08-09T08:17:02.206Z,2026-08-09T08:17:03.310Z,1104,pass,valid,valid,200,,20210001,040410582605000,,,,,,,,1001,,,,aktif,aktif,,,valid,live,run=matriks-final; sivilStatus=found bcAktif=true
42,V-B1,verifikasi,,2026-08-09T08:17:03.313Z,2026-08-09T08:17:04.317Z,1004,pass,valid,valid,200,,20210002,040410582605001,,,,,,,,1002,,,,aktif,aktif,,,valid,live,run=matriks-final; sivilStatus=found bcAktif=true
43,V-B1,verifikasi,,2026-08-09T08:17:04.318Z,2026-08-09T08:17:05.258Z,940,pass,valid,valid,200,,20210011,040410582605010,,,,,,,,1010,,,,aktif,aktif,,,valid,live,run=matriks-final; sivilStatus=found bcAktif=true
44,V-B2,verifikasi,,2026-08-09T08:17:05.259Z,2026-08-09T08:17:06.596Z,1337,pass,tidak valid,tidak valid (token revoked),200,,20210003,040410582605002,,,,,,,,1003,,,,aktif,revoked,,,tidak valid (token revoked),live,run=matriks-final; sivilStatus=found bcAktif=false
45,V-B2,verifikasi,,2026-08-09T08:17:06.597Z,2026-08-09T08:17:07.976Z,1379,pass,tidak valid,tidak valid (token revoked),200,,20210004,040410582605003,,,,,,,,1004,,,,aktif,revoked,,,tidak valid (token revoked),live,run=matriks-final; sivilStatus=found bcAktif=false
46,V-B2,verifikasi,,2026-08-09T08:17:07.977Z,2026-08-09T08:17:09.257Z,1280,pass,tidak valid,tidak valid (token revoked),200,,20210005,040410582605004,,,,,,,,1030,,,,aktif,revoked,,,tidak valid (token revoked),live,run=matriks-final; sivilStatus=found bcAktif=false
47,V-B3,verifikasi,,2026-08-09T08:17:09.258Z,2026-08-09T08:17:10.137Z,879,pass,tidak valid,tidak valid (registri revoked),200,,20210006,040410582605005,,,,,,,,1005,,,,revoked,aktif,,,tidak valid (registri revoked),live,run=matriks-final; sivilStatus=revoked bcAktif=true
48,V-B3,verifikasi,,2026-08-09T08:17:10.137Z,2026-08-09T08:17:11.208Z,1071,pass,tidak valid,tidak valid (registri revoked),200,,20210007,040410582605006,,,,,,,,1006,,,,revoked,aktif,,,tidak valid (registri revoked),live,run=matriks-final; sivilStatus=revoked bcAktif=true
49,V-B3,verifikasi,,2026-08-09T08:17:11.209Z,2026-08-09T08:17:13.185Z,1976,pass,tidak valid,tidak valid (registri revoked),200,,20210008,040410582605007,,,,,,,,1007,,,,revoked,aktif,,,tidak valid (registri revoked),live,run=matriks-final; sivilStatus=revoked bcAktif=true
50,V-B4,verifikasi,,2026-08-09T08:17:13.187Z,2026-08-09T08:17:13.227Z,40,pass,tidak valid,tidak valid (registri tidak ditemukan),200,,20210009,040410582605008,,,,,,,,1008,,,,tidak ditemukan,aktif,,,tidak valid (registri tidak ditemukan),live,run=matriks-final; sivilStatus=not_found bcAktif=null
51,V-B4,verifikasi,,2026-08-09T08:17:13.228Z,2026-08-09T08:17:13.264Z,36,pass,tidak valid,tidak valid (registri tidak ditemukan),200,,20210010,040410582605009,,,,,,,,1009,,,,tidak ditemukan,aktif,,,tidak valid (registri tidak ditemukan),live,run=matriks-final; sivilStatus=not_found bcAktif=null
52,V-B4,verifikasi,,2026-08-09T08:17:13.265Z,2026-08-09T08:17:13.308Z,43,pass,tidak valid,tidak valid (registri tidak ditemukan),200,,20210012,040410582605011,,,,,,,,1011,,,,tidak ditemukan,aktif,,,tidak valid (registri tidak ditemukan),live,run=matriks-final; sivilStatus=not_found bcAktif=null
53,V-B5,verifikasi,,2026-08-09T08:17:13.310Z,2026-08-09T08:17:13.950Z,640,pass,tidak valid,tidak valid (token tidak ditemukan),200,,-,040410582605200,,,,,,,,,,,,aktif,tidak ditemukan,,,tidak valid (token tidak ditemukan),live,run=matriks-final; sivilStatus=found bcAktif=null
