run_id,scenario_id,domain,kelompok,timestamp_start,timestamp_end,latency_ms,status,expected,actual,http_status,error_message,nim,nina,student_name,reservation_id,cid,file_size_bytes,tx_hash,block_number,block_timestamp,token_id,gas_limit,gas_used,revert_reason,registry_status,blockchain_status,sia_status,mock_pisn_status,final_verification,verification_mode,notes
1,F01,integrasi,ineligible,2026-08-09T06:25:22.750Z,2026-08-09T06:25:23.085Z,335,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210201,,Puji Sirait,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
2,F06,integrasi,ineligible,2026-08-09T06:25:23.087Z,2026-08-09T06:25:23.206Z,119,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210201,,Puji Sirait,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
3,F01,integrasi,ineligible,2026-08-09T06:25:23.224Z,2026-08-09T06:25:23.311Z,87,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210202,,Rosman Mansur,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
4,F06,integrasi,ineligible,2026-08-09T06:25:23.311Z,2026-08-09T06:25:23.396Z,85,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210202,,Rosman Mansur,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
5,F01,integrasi,ineligible,2026-08-09T06:25:23.418Z,2026-08-09T06:25:23.510Z,92,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210203,,Prima Pangestu,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
6,F06,integrasi,ineligible,2026-08-09T06:25:23.511Z,2026-08-09T06:25:23.581Z,70,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210203,,Prima Pangestu,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
7,F01,integrasi,ineligible,2026-08-09T06:25:23.598Z,2026-08-09T06:25:23.696Z,98,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210204,,Ani Yuliarti,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
8,F06,integrasi,ineligible,2026-08-09T06:25:23.697Z,2026-08-09T06:25:23.762Z,65,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210204,,Ani Yuliarti,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
9,F01,integrasi,ineligible,2026-08-09T06:25:23.778Z,2026-08-09T06:25:23.861Z,83,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210205,,Maya Wacana,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
10,F06,integrasi,ineligible,2026-08-09T06:25:23.862Z,2026-08-09T06:25:23.935Z,73,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210205,,Maya Wacana,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
11,F01,integrasi,ineligible,2026-08-09T06:25:23.954Z,2026-08-09T06:25:24.059Z,105,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210206,,Kartika Maryati,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
12,F06,integrasi,ineligible,2026-08-09T06:25:24.060Z,2026-08-09T06:25:24.124Z,64,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210206,,Kartika Maryati,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
13,F01,integrasi,ineligible,2026-08-09T06:25:24.141Z,2026-08-09T06:25:24.221Z,80,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210207,,Kenes Sihombing,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
14,F06,integrasi,ineligible,2026-08-09T06:25:24.221Z,2026-08-09T06:25:24.350Z,129,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210207,,Kenes Sihombing,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
15,F01,integrasi,ineligible,2026-08-09T06:25:24.364Z,2026-08-09T06:25:24.451Z,87,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210208,,Eli Handayani,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
16,F06,integrasi,ineligible,2026-08-09T06:25:24.451Z,2026-08-09T06:25:24.525Z,74,pass,reservasi ditolak,ditolak sebelum reservasi lokal dibuat,422,PISN menolak reservasi (HTTP 422): Reservasi ditolak. Mahasiswa masih berstatus aktif atau belum lulus.,20210208,,Eli Handayani,,,,,,,,,,,,,ineligible,ditolak,,,run=ineligible-final-10-20260809
17,F01,integrasi,ineligible,2026-08-09T06:25:24.541Z,2026-08-09T06:25:24.623Z,82,pass,data masuk PDDikti,terkirim ke PDDikti,,,20210209,,Bahuraksa Winarsih,,,,,,,,,,,,,dilaporkan,,,,run=ineligible-final-10-20260809
